pokedex_number,name,generation,type1,type2,classfication,is_legendary,attack,sp_attack,defense,sp_defense,hp,speed,base_total,height_m,weight_kg,percentage_male,capture_rate,experience_growth,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
1,Bulbasaur,1,Grass,Poison,Seed Pokémon,0,49,65,49,65,45,45,318,0.7,6.9,88.1,45,1059860,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
2,Ivysaur,1,Grass,Poison,Seed Pokémon,0,62,80,63,80,60,60,405,1.0,13.0,88.1,45,1059860,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
3,Venusaur,1,Grass,Poison,Seed Pokémon,0,100,122,123,120,80,80,625,2.0,100.0,88.1,45,1059860,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
4,Charmander,1,Fire,,Lizard Pokémon,0,52,60,43,50,39,65,309,0.6,8.5,88.1,45,1059860,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
5,Charmeleon,1,Fire,,Flame Pokémon,0,64,80,58,65,58,80,405,1.1,19.0,88.1,45,1059860,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
6,Charizard,1,Fire,Flying,Flame Pokémon,0,104,159,78,115,78,100,634,1.7,90.5,88.1,45,1059860,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2
7,Squirtle,1,Water,,Tiny Turtle Pokémon,0,48,50,65,64,44,43,314,0.5,9.0,88.1,45,1059860,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
8,Wartortle,1,Water,,Turtle Pokémon,0,63,65,80,80,59,58,405,1.0,22.5,88.1,45,1059860,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
9,Blastoise,1,Water,,Shellfish Pokémon,0,103,135,120,115,79,78,630,1.6,85.5,88.1,45,1059860,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
10,Caterpie,1,Bug,,Worm Pokémon,0,30,20,35,20,45,45,195,0.3,2.9,50,255,1000000,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
11,Metapod,1,Bug,,Cocoon Pokémon,0,20,25,55,25,50,30,205,0.7,9.9,50,120,1000000,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
12,Butterfree,1,Bug,Flying,Butterfly Pokémon,0,45,90,50,80,60,70,395,1.1,32.0,50,45,1000000,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
13,Weedle,1,Bug,Poison,Hairy Pokémon,0,35,20,30,20,40,50,195,0.3,3.2,50,255,1000000,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
14,Kakuna,1,Bug,Poison,Cocoon Pokémon,0,25,25,50,25,45,35,205,0.6,10.0,50,120,1000000,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
15,Beedrill,1,Bug,Poison,Poison Bee Pokémon,0,150,15,40,80,65,145,495,1.0,29.5,50,45,1000000,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
16,Pidgey,1,Normal,Flying,Tiny Bird Pokémon,0,45,35,40,35,40,56,251,0.3,1.8,50,255,1059860,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
17,Pidgeotto,1,Normal,Flying,Bird Pokémon,0,60,50,55,50,63,71,349,1.1,30.0,50,120,1059860,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
18,Pidgeot,1,Normal,Flying,Bird Pokémon,0,80,135,80,80,83,121,579,1.5,39.5,50,45,1059860,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
