,pokedex_number,name,generation,type1,type2,classfication,is_legendary,attack,sp_attack,defense,sp_defense,hp,speed,base_total,height_m,weight_kg,percentage_male,capture_rate,experience_growth,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
0,1,Bulbasaur,1,Grass,Poison,Seed Pokémon,0,49,65,49,65,45,45,318,0.7,6.9,88.1,45,1059860,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
1,2,Ivysaur,1,Grass,Poison,Seed Pokémon,0,62,80,63,80,60,60,405,1.0,13.0,88.1,45,1059860,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
2,3,Venusaur,1,Grass,Poison,Seed Pokémon,0,100,122,123,120,80,80,625,2.0,100.0,88.1,45,1059860,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
5,6,Charizard,1,Fire,Flying,Flame Pokémon,0,104,159,78,115,78,100,634,1.7,90.5,88.1,45,1059860,0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0
11,12,Butterfree,1,Bug,Flying,Butterfly Pokémon,0,45,90,50,80,60,70,395,1.1,32.0,50.0,45,1000000,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
12,13,Weedle,1,Bug,Poison,Hairy Pokémon,0,35,20,30,20,40,50,195,0.3,3.2,50.0,255,1000000,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
13,14,Kakuna,1,Bug,Poison,Cocoon Pokémon,0,25,25,50,25,45,35,205,0.6,10.0,50.0,120,1000000,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
14,15,Beedrill,1,Bug,Poison,Poison Bee Pokémon,0,150,15,40,80,65,145,495,1.0,29.5,50.0,45,1000000,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
15,16,Pidgey,1,Normal,Flying,Tiny Bird Pokémon,0,45,35,40,35,40,56,251,0.3,1.8,50.0,255,1059860,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
16,17,Pidgeotto,1,Normal,Flying,Bird Pokémon,0,60,50,55,50,63,71,349,1.1,30.0,50.0,120,1059860,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
17,18,Pidgeot,1,Normal,Flying,Bird Pokémon,0,80,135,80,80,83,121,579,1.5,39.5,50.0,45,1059860,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
18,19,Rattata,1,Normal,Dark,Mouse Pokémon,0,56,25,35,35,30,72,253,,,50.0,255,1000000,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,20,Raticate,1,Normal,Dark,Mouse Pokémon,0,71,40,70,80,75,77,413,,,50.0,127,1000000,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,21,Spearow,1,Normal,Flying,Tiny Bird Pokémon,0,60,31,30,31,40,70,262,0.3,2.0,50.0,255,1000000,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
